2 1 -2 0 0 0 0 0 0 0 0 0 0 
1 1 -1.96 0 0 0 0 0 0 0.0761061 0.118528 0.0761061 -0.118528 
1 1 -1.92 0 0 0 0 0 0 0.0792121 0.123366 0.0792121 -0.123366 
1 1 -1.84 0 0 0 0 0 0 0.0858094 0.13364 0.0858094 -0.13364 
1 1 -1.68 0 0 0 0 0 0 0.100698 0.156828 0.100698 -0.156828 
1 1 -1.36 0 0 0 0 0 0 0.138674 0.215973 0.138674 -0.215973 
1 1 -0.86 0 0 0 0 0 0 0.228635 0.356079 0.228635 -0.356079 
1 1 -0.36 0 0 0 0 0 0 0.376956 0.587074 0.376956 -0.587074 
1 1 -1.4e-08 0 6.28319 0 0 0 0 0.540302 0.841471 0.540302 -0.841471 
2 1 0.5 0 0 0 0 0 0 0.890808 1.38735 0.890808 -1.38735 
2 1 1 0 0 0 0 0 0 1.46869 2.28736 1.46869 -2.28736 
2 1 1.5 0 0 0 0 0 0 2.42147 3.77121 2.42147 -3.77121 
2 1 2 0 0 0 0 0 0 3.99232 6.21768 3.99232 -6.21768 
