0 0 0 
0.5 0.3111614 0.11378204 
1 0.35728809 0.29305089 
1.5 0.27854455 0.4221229 
2 0.19873746 0.49710444 
2.5 0.13870353 0.53097409 
3 0.093286961 0.53378719 
3.5 0.056372438 0.51488167 
4 0.022816136 0.48156184 
4.5 -0.015177426 0.43802348 
5 -0.07867372 0.38397223 
5.5 -0.19176388 0.31491485 
6 -0.29451653 0.23495743 
6.5 -0.34908909 0.16145074 
7 -0.3701818 0.10602511 
7.5 -0.37299585 0.068729736 
8 -0.36643869 0.044904061 
8.5 -0.3553147 0.029950172 
9 -0.34214771 0.020585783 
9.5 -0.32820976 0.014715444 
10 -0.3140744 0.011054034 
10.5 -0.29991105 0.0088220611 
11 -0.28563297 0.0075480714 
11.5 -0.27095181 0.0069509591 
12 -0.25535285 0.0068744705 
12.5 -0.23795806 0.0072579617 
13 -0.21713546 0.0081435181 
13.5 -0.18929462 0.0097587844 
14 -0.14390075 0.012928215 
14.5 -0.027050873 0.023007061 
15 0.27366787 0.11268515 
15.5 0.34940323 0.2825619 
16 0.28194034 0.41332245 
16.5 0.20380677 0.4915441 
17 0.14331676 0.52854127 
17.5 0.097393826 0.53398389 
18 0.060354266 0.51712489 
18.5 0.027452132 0.48547328 
19 -0.0076192729 0.44372562 
19.5 -0.061047293 0.39264572 
20 -0.16206764 0.32821742 
20.5 -0.27246007 0.25095063 
21 -0.33744341 0.17580411 
21.5 -0.36510965 0.11668503 
22 -0.37160718 0.07592506 
22.5 -0.36704606 0.049569421 
23 -0.35697585 0.03293905 
23.5 -0.34434593 0.022500623 
24 -0.33067074 0.015944622 
24.5 -0.31666479 0.011839982 
25 -0.30258274 0.0093147522 
25.5 -0.28839505 0.0078398772 
26 -0.27386141 0.0070976121 
26.5 -0.25852415 0.006906643 
27 -0.24160065 0.0071856668 
27.5 -0.22166671 0.0079516992 
28 -0.1957106 0.0093799401 
28.5 -0.15550631 0.012095446 
29 -0.064426765 0.019426171 
29.5 0.22324532 0.082801543 
30 0.35250798 0.24980915 
30.5 0.29850498 0.3917993 
31 0.21811056 0.47955397 
31.5 0.154028 0.52399218 
32 0.10568123 0.53496414 
32.5 0.06726037 0.5218761 
33 0.033915494 0.49269602 
33.5 4.3487882e-05 0.45274493 
34 -0.047481209 0.40370506 
34.5 -0.13839367 0.34229115 
35 -0.25375161 0.26673549 
35.5 -0.32813835 0.18971817 
36 -0.36175457 0.12689029 
36.5 -0.37145531 0.082706302 
37 -0.36853138 0.053886592 
37.5 -0.35925511 0.035651013 
38 -0.3469764 0.024202624 
38.5 -0.33343107 0.017013242 
39 -0.3194581 0.012505933 
39.5 -0.30538532 0.0097182179 
40 -0.29123095 0.0080657406 
40.5 -0.27679443 0.007196262 
41 -0.26166582 0.0069053681 
41.5 -0.24514277 0.0070932512 
42 -0.22597247 0.0077554551 
42.5 -0.20160091 0.0090251593 
43 -0.16547835 0.011384082 
43.5 -0.091911487 0.017043745 
44 0.16050105 0.05808495 
44.5 0.3484678 0.21578361 
45 0.31432384 0.3682259 
45.5 0.23306017 0.46594745 
46 0.16529115 0.51815069 
46.5 0.11430044 0.53499222 
47 0.074324675 0.52596891 
47.5 0.040341217 0.49945855 
48 0.0072091748 0.46136981 
48.5 -0.035751794 0.41422495 
49 -0.11605394 0.35568073 
49.5 -0.23315638 0.2823925 
50 -0.31723523 0.20418401 
50.5 -0.35748354 0.13781576 
51 -0.37081507 0.090070687 
51.5 -0.36976397 0.058601387 
52 -0.36140794 0.038616825 
52.5 -0.34954634 0.026063789 
53 -0.33616301 0.018182253 
53.5 -0.32223576 0.013236487 
54 -0.30817306 0.010164599 
54.5 -0.29404426 0.0083214846 
55 -0.27968884 0.0073172855 
55.5 -0.26474133 0.0069228928 
56 -0.24857002 0.0070196567 
56.5 -0.23006655 0.0075831418 
57 -0.20704454 0.0087114358 
57.5 -0.17420119 0.010779642 
58 -0.11289857 0.01533324 
58.5 0.09112256 0.040225942 
59 0.33554074 0.18113185 
59.5 0.32871738 0.34243959 
60 0.24864408 0.45060626 
60.5 0.17719576 0.51093519 
61 0.12332631 0.5340094 
61.5 0.081608616 0.52937478 
62 0.046803314 0.50576305 
62.5 0.01404255 0.46963978 
63 -0.025466448 0.42429748 
63.5 -0.095651284 0.3684254 
64 -0.21086147 0.29782647 
64.5 -0.30455169 0.21915953 
65 -0.3521674 0.14950445 
65.5 -0.36962 0.098082185 
66 -0.37071443 0.063765891 
66.5 -0.3634249 0.041871801 
67 -0.35205701 0.028106438 
67.5 -0.33887354 0.019465419 
68 -0.32500792 0.014040054 
68.5 -0.31095806 0.010658971 
69 -0.29684871 0.0086100632 
69.5 -0.28256041 0.0074622012 
70 -0.26777005 0.0069596283 
70.5 -0.25190878 0.0069641834 
71 -0.23399156 0.0074323784 
71.5 -0.21213196 0.0084322328 
72 -0.18197709 0.010257086 
72.5 -0.12961166 0.014026886 
73 0.026046675 0.029253028 
73.5 0.31184813 0.14668192 
74 0.3408137 0.31426251 
74.5 0.26482344 0.43336529 
75 0.18984883 0.50224209 
75.5 0.1328472 0.53194189 
76 0.089178175 0.53205389 
76.5 0.053367656 0.51160234 
77 0.020667709 0.47758108 
77.5 -0.016302871 0.43399444 
78 -0.077555798 0.38056833 
78.5 -0.18736254 0.3129147 
79 -0.28998438 0.23453461 
79.5 -0.34569991 0.16194665 
80 -0.36781177 0.10677409 
80.5 -0.37135449 0.069414571 
81 -0.3652938 0.045440432 
81.5 -0.3545045 0.030345906 
82 -0.34156302 0.020871852 
82.5 -0.32777718 0.014921926 
83 -0.31374431 0.011204352 
83.5 -0.29964939 0.0089331251 
84 -0.28541553 0.0076317848 
84.5 -0.27076045 0.0070157065 
85 -0.2551721 0.0069263112 
85.5 -0.23777154 0.0073015844 
86 -0.21691954 0.0081832213 
86.5 -0.18899971 0.0098003196 
87 -0.14336351 0.012986671 
87.5 -0.02520196 0.023214502 
88 0.27549091 0.11403207 
88.5 0.34913981 0.283905 
89 0.28123477 0.4141846 
89.5 0.20321922 0.49201396 
90 0.14287736 0.528705 
90.5 0.097051799 0.53392243 
91 0.060066696 0.51691103 
91.5 0.027178684 0.48515952 
92 -0.0079546291 0.44333735 
92.5 -0.061662309 0.39216805 
93 -0.16307738 0.32761165 
93.5 -0.27320144 0.25028732 
94 -0.33780062 0.17523324 
94.5 -0.36523154 0.1162723 
95 -0.37160343 0.075652689 
95.5 -0.36697841 0.049396485 
96 -0.35687748 0.032830488 
96.5 -0.34423414 0.022432491 
97 -0.33055419 0.015901865 
97.5 -0.3165471 0.011813386 
98 -0.30246466 0.009298726 
98.5 -0.28827539 0.007831037 
99 -0.27373731 0.0070939586 
99.5 -0.25839061 0.0069071148 
100 -0.24144915 0.0071899765 
